Fixture,Metric,Reference Value,JavaScript Value,Absolute Error,Relative Error,Pass / Fail
"uncensored_weibull","beta","1.552532505818011","1.552532513699771","7.881759911398944e-9","5.0767116835638415e-9","Pass"
"uncensored_weibull","eta","767.637752138295","767.6377531527963","0.0000010145013220608234","1.3215886259304952e-9","Pass"
"uncensored_weibull","logLikelihood","-59.323873872003496","-59.323873872003475","2.1316282072803006e-14","3.593204671494442e-16","Pass"
"uncensored_weibull","b1","39.659118646623824","39.65911929560051","6.489766875006353e-7","1.6363870646829985e-8","Pass"
"uncensored_weibull","b5","113.3169499245785","113.31695117491704","0.0000012503385420359336","1.1033993968846973e-8","Pass"
"uncensored_weibull","b10","180.15837546915276","180.15837703296148","0.0000015638087234037812","8.680188857894875e-9","Pass"
"uncensored_weibull","b50","606.2204579618025","606.2204594895201","0.0000015277175862138392","2.520069334760226e-9","Pass"
"uncensored_weibull","missionReliability","0.598114981999254","0.5981149836687599","1.669505977908159e-9","2.791279316106884e-9","Pass"
"uncensored_weibull","missionFailureProbability","0.40188501800074605","0.4018850163312401","1.669505977908159e-9","4.1541881461852845e-9","Pass"
"right_censored_weibull","beta","1.0448396851413617","1.0448397293710514","4.4229689688535245e-8","4.23315560439793e-8","Pass"
"right_censored_weibull","eta","1177.7896896520526","1177.7896816566483","0.000007995404303073883","6.788482165636819e-9","Pass"
"right_censored_weibull","logLikelihood","-48.46582453651309","-48.465824536513075","1.4210854715202004e-14","2.93213926536953e-16","Pass"
"right_censored_weibull","b1","14.420671689195458","14.42067427894659","0.0000025897511317651833","1.7958602675252137e-7","Pass"
"right_censored_weibull","b5","68.6256660517645","68.6256738441147","0.000007792350203317255","1.1354862767290984e-7","Pass"
"right_censored_weibull","b10","136.67458975974532","136.6746012930146","0.000011533269287156145","8.438488315516446e-8","Pass"
"right_censored_weibull","b50","829.3240196463173","829.3240263312865","0.000006684969207526592","8.06074471396299e-9","Pass"
"right_censored_weibull","missionReliability","0.6646305618797783","0.6646305702432053","8.363426950985797e-9","1.2583572635196718e-8","Pass"
"right_censored_weibull","missionFailureProbability","0.3353694381202217","0.33536942975679473","8.363426950985797e-9","2.4937952002614247e-8","Pass"
"beta_lt_1_early_life","beta","0.5385089178656887","0.5385089270333538","9.167665182552298e-9","1.7024165948610783e-8","Pass"
"beta_lt_1_early_life","eta","171.7483188700505","171.74832123810222","0.000002368051724488396","1.3787917925881586e-8","Pass"
"beta_lt_1_early_life","logLikelihood","-50.25411841787613","-50.25411841787614","1.4210854715202004e-14","2.8277990267454366e-16","Pass"
"beta_lt_1_early_life","b1","0.03349522162163972","0.03349522695457696","5.332937244584279e-9","1.5921486667038246e-7","Pass"
"beta_lt_1_early_life","b5","0.6910373327192876","0.6910374071345189","7.44152313103541e-8","1.0768626785693932e-7","Pass"
"beta_lt_1_early_life","b10","2.6304218602586373","2.630422083660279","2.2340164163026088e-7","8.492996694009181e-8","Pass"
"beta_lt_1_early_life","b50","86.95782031582239","86.95782252234959","0.000002206527199177799","2.537468385435497e-8","Pass"
"beta_lt_1_early_life","missionReliability","0.47363281420704384","0.4736328185902094","4.38316555273488e-9","9.254353628502655e-9","Pass"
"beta_lt_1_early_life","missionFailureProbability","0.5263671857929562","0.5263671814097906","4.383165608246031e-9","8.327201479406292e-9","Pass"
"beta_approx_1_random","beta","0.9114636649173841","0.9114636795118712","1.4594487174335313e-8","1.601214369380064e-8","Pass"
"beta_approx_1_random","eta","608.8627148853135","608.8627192703426","0.000004385029114928329","7.201999741032429e-9","Pass"
"beta_approx_1_random","logLikelihood","-59.57585695231904","-59.57585695231903","1.4210854715202004e-14","2.385337860364396e-16","Pass"
"beta_approx_1_random","b1","3.914162836275627","3.9141631807812693","3.445056422357595e-7","8.801515334082543e-8","Pass"
"beta_approx_1_random","b5","23.403448311003295","23.403449700721694","0.0000013897183990252415","5.938092457818943e-8","Pass"
"beta_approx_1_random","b10","51.55415550023049","51.55415790963162","0.00000240940112661292","4.6735342732985855e-8","Pass"
"beta_approx_1_random","b50","407.27072425982146","407.2707298152865","0.000005555465008910687","1.364071777810019e-8","Pass"
